TrackID,Lane,Frame,EpochTime
543,1,2506,1757356486.982351
547,2,2529,1757356489.2531188
548,1,2551,1757356491.3353028
549,2,2584,1757356494.5854914
550,2,2634,1757356499.695306
567,1,2658,1757356502.0631404
570,1,2691,1757356505.3134193
598,1,2756,1757356511.5737715
594,1,2791,1757356514.7970176
600,1,2839,1757356519.0804322
608,1,2911,1757356525.662705
611,1,2946,1757356528.9837093
616,1,2964,1757356530.6369185
626,1,2994,1757356533.4525564
639,1,3056,1757356539.118751
646,1,3098,1757356542.929783
627,2,3107,1757356543.7489889
667,1,3160,1757356548.635434
656,1,3176,1757356550.0147047
673,1,3189,1757356551.1326318
654,2,3191,1757356551.3183355
675,1,3211,1757356553.2275734
674,1,3243,1757356556.6658914
660,2,3254,1757356557.83783
678,1,3274,1757356560.2842944
684,1,3301,1757356563.437181
700,3,3331,1757356566.7981837
676,2,3334,1757356567.1600409
688,1,3337,1757356567.5267
679,2,3408,1757356574.6506438
693,1,3424,1757356576.186465
721,1,3463,1757356580.917806
733,3,3503,1757356588.0662503
711,1,3512,1757356588.929174
741,1,3512,1757356588.929174
726,1,3559,1757356593.4752834
728,1,3571,1757356594.7510135
742,1,3629,1757356602.2878907
739,1,3637,1757356603.17202
753,3,3655,1757356605.1556087
717,2,3657,1757356605.4266775
748,1,3743,1757356614.6814554
755,1,3884,1757356628.9312954
765,2,3906,1757356630.8147013
772,1,3918,1757356631.8303325
768,1,3920,1757356632.0021155
774,1,3949,1757356634.4550886
776,1,3966,1757356635.8790445
775,2,4023,1757356641.4936762
785,1,4063,1757356646.2998385
804,1,4113,1757356650.9066334
814,1,4131,1757356652.9179611
834,3,4157,1757356656.400426
812,1,4159,1757356656.6071386
784,2,4162,1757356656.9313772
818,1,4166,1757356657.347959
816,1,4182,1757356659.1885374
824,1,4202,1757356661.4726114
852,3,4218,1757356663.3118122
865,1,4235,1757356665.2726638
836,1,4246,1757356666.577003
859,3,4247,1757356666.7379043
844,1,4264,1757356668.8966448
842,1,4283,1757356670.7952611
849,1,4299,1757356672.4378147
846,1,4313,1757356673.820415
889,1,4337,1757356676.5343225
866,1,4360,1757356678.8118143
803,2,4380,1757356680.5635612
905,3,4429,1757356684.7811928
886,1,4431,1757356684.957197
899,1,4497,1757356691.0017023
808,2,4519,1757356692.981293
921,2,4597,1757356699.64267
922,1,4615,1757356701.2027597
926,1,4655,1757356704.628111
927,1,4665,1757356705.483711
936,1,4718,1757356710.0464015
833,2,4719,1757356710.143267
965,3,4732,1757356711.2913532
940,1,4747,1757356712.5812328
948,1,4790,1757356716.2661488
993,3,4805,1757356717.5845542
964,1,4807,1757356717.7511764
963,1,4824,1757356719.2103457
971,1,4841,1757356720.6500044
911,2,4878,1757356723.8193538
980,1,4879,1757356723.9127529
1008,1,4920,1757356727.3834248
1001,1,4928,1757356728.0631971
882,2,4948,1757356729.7699971
1016,1,4998,1757356734.0630503
1009,1,5001,1757356734.3180568
1025,1,5046,1757356738.2330763
1055,1,5078,1757356740.9830594
1073,3,5078,1757356740.9840598
895,2,5082,1757356741.3329804
1030,1,5100,1757356742.9517689
1080,1,5113,1757356744.0689275
952,2,5161,1757356748.2385955
1072,1,5175,1757356749.4614685
1100,1,5211,1757356752.580865
1074,2,5222,1757356753.5069175
1066,2,5314,1757356763.583344
1123,1,5330,1757356766.200629
1077,1,5378,1757356771.2254264
1132,1,5394,1757356773.520964
1168,3,5396,1757356773.79384
1067,2,5409,1757356775.4306703
1165,1,5462,1757356781.7078335
1086,2,5485,1757356784.178773
1170,1,5518,1757356787.9870133
